field,meaning,semantic_type,note
Age,年龄,数量,岁
Attrition,是否离职,目标类别,Yes/No；不是年度离职率
BusinessTravel,出差频率,类别,Non-Travel/Travel_Rarely/Travel_Frequently
DailyRate,日费率或日薪相关数值,数量,币种与业务口径待确认；不据此推算月收入
Department,部门,类别,人力资源、研发、销售
DistanceFromHome,家到工作的距离,数量,距离单位待确认
Education,教育程度,有序类别,1–5；学历映射待确认
EducationField,教育专业领域,类别,专业分类
EmployeeCount,员工计数,常量,全部为1
EmployeeNumber,员工编号,标识符,仅追踪记录；编号不连续不代表缺失
EnvironmentSatisfaction,环境满意度,有序类别,1–4；具体标签待确认
Gender,性别,类别,Female/Male；主模型默认排除
HourlyRate,小时费率或时薪相关数值,数量,币种与业务口径待确认
JobInvolvement,工作投入程度,有序类别,1–4
JobLevel,职级,有序类别,1–5
JobRole,岗位类型,类别,9类
JobSatisfaction,工作满意度,有序类别,1–4
MaritalStatus,婚姻状况,类别,主模型默认排除
MonthlyIncome,月收入,数量,币种待确认
MonthlyRate,月费率相关数值,数量,不等同于MonthlyIncome；口径待确认
NumCompaniesWorked,工作过的公司数,数量,0–9；是否包含当前公司待确认
Over18,超过18岁的标记,常量,全部为Y；年龄18岁的边界口径待确认
OverTime,是否加班,类别,Yes/No；没有加班时数
PercentSalaryHike,加薪百分比,数量,11表示11%，原列保持整数百分数
PerformanceRating,绩效等级,有序类别,本文件只出现3、4
RelationshipSatisfaction,工作关系满意度,有序类别,1–4
StandardHours,标准工时,常量,全部为80；统计周期待确认
StockOptionLevel,股票期权等级,有序类别,0–3；不是金额
TotalWorkingYears,累计工作年数,数量,年
TrainingTimesLastYear,上年培训次数,数量,次数；具体年份未知
WorkLifeBalance,工作生活平衡,有序类别,1–4
YearsAtCompany,在公司年数,数量,年
YearsInCurrentRole,当前岗位年数,数量,年
YearsSinceLastPromotion,距上次晋升年数,数量,年；0的精确定义待确认
YearsWithCurrManager,与当前经理共事年数,数量,年
